FileType,OuDiaSecond.JikokuhyouCsv.2
11-13
下り

列車番号,,回1005A,1075,試9091,試9093,1049,1183C,1049,1019A,1183C,1167,1041,1185C,回1107A,1161,1041,1021A,1161,1151,1199C,1165,1151,1143,1283C,1143,1113A,1283C,試9191,試9193,1275,1145,1285C,回1221A,1267,1145,1103A,1267,1251,1299C,1261,1251,1249,1215A
運用番号,,04,74,390,392,48,82,48,18,82,66,40,84,06,60,40,20,60,50,98,64,50,42,82,42,12,82,,,74,44,84,20,66,44,02,66,50,98,60,50,48,14
列車種別,,回送,普通,試転,試転,普通,準急,普通,特急,準急,普通,普通,準急,回送,普通,普通,特急,普通,普通,準急,普通,普通,普通,準急,普通,特急,準急,試転,試転,普通,普通,準急,回送,普通,普通,特急,普通,普通,準急,普通,普通,普通,特急
列車名,,,,,,,,,Ｃ特１,,,,,,,,Ｃ特２,,,,,,,,,Ｃ特１,,,,,,,,,,Ｃ特２,,,,,,,Ｃ特１
号数,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
終着駅,,駒野,新野崎,江原信,江原信,日野森,大道寺,大道寺,赤山町,新野崎,新野崎,赤山町,大道寺,駒野,新野崎,大道寺,赤山町,津崎,日野森,大道寺,新野崎,大道寺,赤山町,大道寺,大道寺,赤山町,新野崎,日野森,日野森,新野崎,赤山町,大道寺,駒野,新野崎,大道寺,赤山町,津崎,日野森,大道寺,新野崎,大道寺,赤山町,赤山町
始発駅作業,,,,出区,出区,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,104945,104945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,04,74,390,392,48,82,,18,,66,40,,,,,20,,,,,,42,,,12,,,,,44,,,,,02,,,,,,48,14
終着駅,,館浜,館浜,駒野,館浜,大道寺,新野崎,江原信,館浜,館浜,館浜,大道寺,館浜,館浜,津崎,江原信,館浜,館浜,大道寺,館浜,館浜,江原信,大道寺,新野崎,江原信,館浜,館浜,駒野,駒野,館浜,大道寺,館浜,館浜,津崎,江原信,館浜,館浜,大道寺,館浜,館浜,江原信,江原信,館浜
終着駅作業,,,,,,同一列車扱い,同一列車扱い,入区,,,,同一列車扱い,,,同一列車扱い,入区,,,同一列車扱い,,,入区,同一列車扱い,同一列車扱い,入区,,,,,,同一列車扱い,,,同一列車扱い,入区,,,同一列車扱い,,,入区,入区,
,,,,,,,,110420,,,,,,,,112610,,,,,,114810,,,120455,,,,,,,,,,122610,,,,,,124815,130455,
赤山町,着,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
赤山町,番線,,,,,,,,③,,,③,,,,,③,,,,,,③,,,③,,,,,③,,,,,③,,,,,,③,③
赤山町,発,,,,,,,,105250,,,110235,,,,,112700,,,,,,114415,,,115250,,,,,120220,,,,,122700,,,,,,124415,125250
西赤山,着,,,,,,,, ﾚ,,,110500,,,,, ﾚ,,,,,,114640,,, ﾚ,,,,,120445,,,,, ﾚ,,,,,,124640, ﾚ
西赤山,番線,,,,,,,,②,,,②,,,,,②,,,,,,②,,,②,,,,,②,,,,,②,,,,,,②,②
西赤山,発,,,,,,,,105505?,,,110520,,,,,112850?,,,,,,114700,,,115505?,,,,,120505,,,,,122850?,,,,,,124700,125505?
奥峯口,発,,,,,,,, ﾚ,,,110715,,,,, ﾚ,,,,,,114855,,, ﾚ,,,,,120700,,,,, ﾚ,,,,,,124855, ﾚ
日野森,着,,,,,,,, ﾚ,,,110850,,,,, ﾚ,,,,,,115030,,, ﾚ,,,,,120835,,,,, ﾚ,,,,,,125030, ﾚ
日野森,番線,,,,,③,,,③,,,③,,,,,③,,①,,,,③,,,③,,①,①,,③,,,,,③,,①,,,,③,③
日野森,発,,,,,105020,,,105635?,,,110920,,,,,113020?,,113130,,,,115050,,,115635?,,115910,115910,,120905,,,,,123020?,,123130,,,,125050,125635?
高見沢,着,,,,,105220,,, ﾚ,,,111125,,,,, ﾚ,,113340,,,,115255,,, ﾚ,, ﾚ, ﾚ,,121110,,,,, ﾚ,,123340,,,,125255, ﾚ
高見沢,番線,,,,,①,,,①,,,①,,,,,①,,①,,,,①,,,①,,①,①,,①,,,,,①,,①,,,,①,①
高見沢,発,,,,,105240,,,105810?,,,111145,,,,,113150?,,113400,,,,115315,,,115810?,,120055?,120055?,,121130,,,,,123150?,,123400,,,,125315,125810?
水越,着,,,,,105450,,, ﾚ,,,111425,,,,, ﾚ,,113610,,,,115525,,, ﾚ,, ﾚ, ﾚ,,121410,,,,, ﾚ,,123610,,,,125525, ﾚ
水越,番線,,,,,②,,,②,,,①,,,,,②,,②,,,,②,,,②,,②,②,,①,,,,,②,,②,,,,②,②
水越,発,,,,,105520,,,105945?,,,111605,,,,,113325?,,113630,,,,115555,,,115945?,,120320?,120320?,,121550,,,,,123325?,,123630,,,,125550,125945?
藤江,着,,,,,105700,,, ﾚ,,,111745,,,,, ﾚ,,113805,,,,115735,,, ﾚ,,120455,120455,,121730,,,,, ﾚ,,123810,,,,125725, ﾚ
藤江,番線,,,,,②,,,②,,,②,,,,,②,,②,,,,②,,,②,,①,①,,②,,,,,②,,②,,,,②,②
藤江,発,,,,,105725,,,110050?,,,111805,,,,,113430?,,113830,,,,115800,,,120050?,,120625,120625,,121755,,,,,123430?,,123835,,,,125750,130050?
大道寺,着,,,,,105950,,,110305,,,112040,,,,,113645,,114105,,,,120025,,,120305,,120850,120850,,122020,,,,,123645,,124110,,,,130025,130305
大道寺,前作業1,,,,,,換 Y,,,,,,換 Y,,,,,,,換 Y,,,,換 Y,,,,,,,,換 Y,,,,,,,換 Y,,,,
,,,,,,,105600,,,,,,111630,,,,,,,113900,,,,115600,,,,,,,,121630,,,,,,,123930,,,,
大道寺,番線,,,,,③,④,③,④,,,③,④,,,③,④,,③,④,,③,③,④,③,④,,④,④,,③,④,,,③,④,,③,④,,③,③,④
大道寺,発,,,,,,110130,110205,110405,,,,112200,,,112355,113745,,,114210,,114555,,120130,120240,120425,,120920,120920,,,122200,,,122355,123745,,,124300,,124600,130240,130425
江ノ原信号場,着,,,,,, ﾚ,110350, ﾚ,,,, ﾚ,,,112540, ﾚ,,, ﾚ,,114740,, ﾚ,120425, ﾚ,, ﾚ, ﾚ,,, ﾚ,,,122540, ﾚ,,, ﾚ,,124745,130425, ﾚ
江ノ原信号場,番線,,,⑫,⑫,,下本,⑩,下本,,,,下本,,,⑩,下本,,,下本,,⑩,,下本,⑩,下本,,下本,下本,,,下本,,,⑩,下本,,,下本,,⑩,⑩,下本
江ノ原信号場,発,,,105015,105015,,110210?,,110455?,,,,112240?,,,,113835?,,,114250?,,,,120210?,,120515?,,121010?,121010?,,,122240?,,,,123835?,,,124340?,,,,130515?
江ノ原,発,,, ﾚ, ﾚ,,110330,, ﾚ,,,,112400,,,, ﾚ,,,114420,,,,120330,, ﾚ,, ﾚ, ﾚ,,,122400,,,, ﾚ,,,124510,,,, ﾚ
新野崎,着,,, ﾚ, ﾚ,,110530,, ﾚ,,,,112545,,,, ﾚ,,,114605,,,,120530,, ﾚ,,121210,121210,,,122545,,,, ﾚ,,,124655,,,, ﾚ
新野崎,前作業1,,換 ⑤,,,,,,,,換 ⑤,,,,換 ⑤,,,,,,換 ⑤,,,,,,,,,換 ⑤,,,,換 ⑤,,,,,,換 ⑤,,,
,,,105100,,,,,,,,111300,,,,113100,,,,,,115100,,,,,,,,,121300,,,,123130,,,,,,125100,,,
新野崎,番線,,④,③,③,,④,,③,④,④,,③,,④,,③,,,③,④,,,④,,③,④,③,③,④,,③,,④,,③,,,③,④,,,③
新野崎,発,,105600,105200?,105200?,,,,110645?,110800,111600,,112615,,113450,,114025?,,,114635,115600,,,,,120705?,120800,121240,121240,121600,,122615,,123450,,124025?,,,124725,125600,,,130705?
新井川,発,,105750, ﾚ, ﾚ,,,, ﾚ, ﾚ,111750,, ﾚ,,113640,, ﾚ,,, ﾚ,115750,,,,, ﾚ, ﾚ, ﾚ, ﾚ,121750,, ﾚ,,123640,, ﾚ,,, ﾚ,125750,,, ﾚ
羽衣橋,発,,105940, ﾚ, ﾚ,,,, ﾚ, ﾚ,111940,, ﾚ,,113830,, ﾚ,,, ﾚ,115940,,,,, ﾚ, ﾚ, ﾚ, ﾚ,121940,, ﾚ,,123830,, ﾚ,,, ﾚ,125940,,, ﾚ
浜園,着,,110105, ﾚ, ﾚ,,,, ﾚ,111050,112105,,112900,,113955,, ﾚ,,,114920,120105,,,,, ﾚ,121050, ﾚ, ﾚ,122105,,122900,,123955,, ﾚ,,,125010,130105,,, ﾚ
浜園,番線,,②,②,②,,,,②,②,②,,②,,②,,②,,,②,②,,,,,②,②,②,②,②,,②,,②,,②,,,②,②,,,②
浜園,発,,110135,105410?,105410?,,,,110845?,111120,112135,,112930,,114025,,114225?,,,114950,120135,,,,,120905?,121120,121505?,121505?,122135,,122930,,124025,,124225?,,,125040,130135,,,130905?
津崎,着,,110315, ﾚ, ﾚ,,,, ﾚ, ﾚ,112315,, ﾚ,,114220,, ﾚ,,, ﾚ,120315,,,,, ﾚ, ﾚ, ﾚ, ﾚ,122315,, ﾚ,,124220,, ﾚ,,, ﾚ,130315,,, ﾚ
津崎,番線,,③,③,③,,,,③,③,③,,③,,④,,③,④,,③,③,,,,,③,③,③,③,③,,③,,④,,③,④,,③,③,,,③
