FileType,OuDiaSecond.JikokuhyouCsv.2
15-17
下り

列車番号,,回1409A,1475,1449,1583C,1449,1419A,1583C,1567,1441,1585C,回1505A,1561,1441,1407A,1561,1551,1599C,1565,1551,1543,1683C,1543,1513A,1683C,1675,1545,1685C,回1607A,1545,1679,1521A,1679,1651,1699C,1661,1651,1649,1603A
運用番号,,08,74,48,82,48,18,82,66,40,84,04,60,40,06,60,50,98,64,50,42,82,42,12,82,74,44,84,06,44,78,20,78,50,98,60,50,48,02
列車種別,,回送,普通,普通,準急,普通,特急,準急,普通,普通,準急,回送,普通,普通,特急,普通,普通,準急,普通,普通,普通,準急,普通,特急,準急,普通,普通,準急,回送,普通,普通,特急,普通,普通,準急,普通,普通,普通,特急
列車名,,,,,,,Ｃ特１,,,,,,,,Ｃ特２,,,,,,,,,Ｃ特１,,,,,,,,Ｃ特２,,,,,,,Ｃ特１
号数,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
終着駅,,駒野,新野崎,日野森,大道寺,大道寺,赤山町,新野崎,新野崎,赤山町,大道寺,駒野,新野崎,大道寺,赤山町,津崎,日野森,大道寺,新野崎,大道寺,赤山町,大道寺,大道寺,赤山町,新野崎,新野崎,赤山町,大道寺,駒野,大道寺,江原信,赤山町,津崎,日野森,大道寺,新野崎,大道寺,赤山町,赤山町
始発駅作業,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,出区,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,162830,,,,,,,,
,,08,74,48,82,,18,,66,40,,,,,06,,,,,,42,,,12,,,44,,,,78,20,,,,,,48,02
終着駅,,館浜,館浜,大道寺,新野崎,江原信,館浜,館浜,館浜,大道寺,館浜,館浜,津崎,江原信,館浜,館浜,大道寺,館浜,館浜,江原信,大道寺,新野崎,江原信,館浜,館浜,館浜,大道寺,館浜,館浜,江原信,津崎,館浜,館浜,大道寺,館浜,館浜,江原信,江原信,館浜
終着駅作業,,,,同一列車扱い,同一列車扱い,入区,,,,同一列車扱い,,,同一列車扱い,入区,,,同一列車扱い,,,入区,同一列車扱い,同一列車扱い,入区,,,,同一列車扱い,,,入区,同一列車扱い,,,同一列車扱い,,,入区,入区,
,,,,,,150455,,,,,,,,152610,,,,,,154815,,,160500,,,,,,,162610,,,,,,,164635,170450,
赤山町,着,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
赤山町,番線,,,,,,③,,,③,,,,,③,,,,,,③,,,③,,,③,,,,,③,,,,,,③,③
赤山町,発,,,,,,145250,,,150220,,,,,152700,,,,,,154415,,,155250,,,160220,,,,,162700,,,,,,164415,165250
西赤山,着,,,,,, ﾚ,,,150445,,,,, ﾚ,,,,,,154640,,, ﾚ,,,160445,,,,, ﾚ,,,,,,164640, ﾚ
西赤山,番線,,,,,,②,,,②,,,,,②,,,,,,②,,,②,,,②,,,,,②,,,,,,②,②
西赤山,発,,,,,,145505?,,,150505,,,,,152850?,,,,,,154700,,,155505?,,,160505,,,,,162850?,,,,,,164700,165505?
奥峯口,発,,,,,, ﾚ,,,150700,,,,, ﾚ,,,,,,154855,,, ﾚ,,,160700,,,,, ﾚ,,,,,,164855, ﾚ
日野森,着,,,,,, ﾚ,,,150835,,,,, ﾚ,,,,,,155030,,, ﾚ,,,160835,,,,, ﾚ,,,,,,165030, ﾚ
日野森,番線,,,③,,,③,,,③,,,,,③,,①,,,,③,,,③,,,③,,,,,③,,①,,,,③,③
日野森,発,,,145050,,,145635?,,,150905,,,,,153020?,,153130,,,,155050,,,155635?,,,160905,,,,,163020?,,163130,,,,165050,165635?
高見沢,着,,,145255,,, ﾚ,,,151110,,,,, ﾚ,,153340,,,,155255,,, ﾚ,,,161110,,,,, ﾚ,,163340,,,,165255, ﾚ
高見沢,番線,,,①,,,①,,,①,,,,,①,,①,,,,①,,,①,,,①,,,,,①,,①,,,,①,①
高見沢,発,,,145315,,,145810?,,,151130,,,,,153150?,,153400,,,,155315,,,155810?,,,161130,,,,,163150?,,163400,,,,165315,165810?
水越,着,,,145525,,, ﾚ,,,151410,,,,, ﾚ,,153610,,,,155525,,, ﾚ,,,161410,,,,, ﾚ,,163610,,,,165525, ﾚ
水越,番線,,,②,,,②,,,①,,,,,②,,②,,,,②,,,②,,,①,,,,,②,,②,,,,②,②
水越,発,,,145550,,,145945?,,,151550,,,,,153325?,,153630,,,,155555,,,155945?,,,161550,,,,,163325?,,163630,,,,165555,165945?
藤江,着,,,145725,,, ﾚ,,,151730,,,,, ﾚ,,153810,,,,155730,,, ﾚ,,,161730,,,,, ﾚ,,163810,,,,165730, ﾚ
藤江,番線,,,②,,,②,,,②,,,,,②,,②,,,,②,,,②,,,②,,,,,②,,②,,,,②,②
藤江,発,,,145750,,,150050?,,,151755,,,,,153430?,,153835,,,,155755,,,160050?,,,161755,,,,,163430?,,163835,,,,165755,170050?
大道寺,着,,,150025,,,150305,,,152020,,,,,153645,,154110,,,,160030,,,160305,,,162020,,,,,163645,,164110,,,,170030,170305
大道寺,前作業1,,,,換 Y,,,,,,換 Y,,,,,,,換 Y,,,,換 Y,,,,,,換 Y,,,,,,,換 Y,,,,
,,,,,145600,,,,,,151630,,,,,,,153930,,,,155600,,,,,,161630,,,,,,,163930,,,,
大道寺,番線,,,③,④,③,④,,,③,④,,,③,④,,③,④,,③,③,④,③,④,,,③,④,,③,,④,,③,④,,③,③,④
大道寺,発,,,,150130,150240,150425,,,,152200,,,152355,153745,,,154300,,154600,,160130,160245,160425,,,,162200,,162355,,163745,,,164300,,164420,170245,170425
江ノ原信号場,着,,,, ﾚ,150425, ﾚ,,,, ﾚ,,,152540, ﾚ,,, ﾚ,,154745,, ﾚ,160430, ﾚ,,,, ﾚ,,162540,, ﾚ,,, ﾚ,,164605,170430, ﾚ
江ノ原信号場,番線,,,,下本,⑩,下本,,,,下本,,,⑩,下本,,,下本,,⑩,,下本,⑩,下本,,,,下本,,⑩,⑫,下本,,,下本,,⑩,⑩,下本
江ノ原信号場,発,,,,150210?,,150515?,,,,152240?,,,,153835?,,,154340?,,,,160210?,,160515?,,,,162240?,,,162900,163835?,,,164340?,,,,170515?
江ノ原,発,,,,150330,, ﾚ,,,,152400,,,, ﾚ,,,154510,,,,160330,, ﾚ,,,,162400,,,163100, ﾚ,,,164510,,,, ﾚ
新野崎,着,,,,150530,, ﾚ,,,,152545,,,, ﾚ,,,154655,,,,160530,, ﾚ,,,,162545,,,163245, ﾚ,,,164655,,,, ﾚ
新野崎,前作業1,,換 ⑤,,,,,,換 ⑤,,,,換 ⑤,,,,,,換 ⑤,,,,,,,換 ⑤,,,,,,,,,,換 ⑤,,,
,,,145100,,,,,,151300,,,,153130,,,,,,155100,,,,,,,161300,,,,,,,,,,165030,,,
新野崎,番線,,④,,④,,③,④,④,,③,,④,,③,,,③,④,,,④,,③,④,④,,③,,,④,③,,,③,④,,,③
新野崎,発,,145600,,,,150705?,150800,151600,,152615,,153450,,154025?,,,154725,155600,,,,,160705?,160800,161600,,162615,,,163455,164025?,,,164725,165530,,,170705?
新井川,発,,145750,,,, ﾚ, ﾚ,151750,, ﾚ,,153640,, ﾚ,,, ﾚ,155750,,,,, ﾚ, ﾚ,161750,, ﾚ,,,163645, ﾚ,,, ﾚ,165720,,, ﾚ
羽衣橋,発,,145940,,,, ﾚ, ﾚ,151940,, ﾚ,,153830,, ﾚ,,, ﾚ,155940,,,,, ﾚ, ﾚ,161940,, ﾚ,,,163835, ﾚ,,, ﾚ,165910,,, ﾚ
浜園,着,,150105,,,, ﾚ,151050,152105,,152900,,153955,, ﾚ,,,155010,160105,,,,, ﾚ,161050,162105,,162900,,,164000, ﾚ,,,165010,170035,,, ﾚ
浜園,番線,,②,,,,②,②,②,,②,,②,,②,,,②,②,,,,,②,②,②,,②,,,②,②,,,②,②,,,②
浜園,発,,150135,,,,150905?,151120,152135,,152930,,154025,,154225?,,,155040,160135,,,,,160905?,161120,162135,,162930,,,164030,164225?,,,165040,170105,,,170905?
津崎,着,,150315,,,, ﾚ, ﾚ,152315,, ﾚ,,154220,, ﾚ,,, ﾚ,160315,,,,, ﾚ, ﾚ,162315,, ﾚ,,,164225, ﾚ,,, ﾚ,170245,,, ﾚ
津崎,番線,,③,,,,③,③,③,,③,,④,,③,④,,③,③,,,,,③,③,③,,③,,,④,③,④,,③,③,,,③
津崎,発,,150340,,,,150955?,151235?,152340,,153045?,,,,154315?,154415,,155155?,160340,,,,,160955?,161235?,162340,,163045?,,,,164315?,164420,,165155?,170310,,,170955?
虹ヶ浜,発,,150555,,,, ﾚ, ﾚ,152555,, ﾚ,,,, ﾚ,154640,, ﾚ,160555,,,,, ﾚ, ﾚ,162555,, ﾚ,,,, ﾚ,164645,, ﾚ,170525,,, ﾚ
海岸公園,発,,150810,,,, ﾚ, ﾚ,152810,, ﾚ,,,, ﾚ,154855,, ﾚ,160810,,,,, ﾚ, ﾚ,162810,, ﾚ,,,, ﾚ,164900,, ﾚ,170740,,, ﾚ
