FileType,OuDiaSecond.JikokuhyouCsv.2
18-24
上り

列車番号,,1784C,1750,1764,1814A,1764,1898C,1876,1874,1886C,1878,1810A,1882B,1878,1884C,1850,1860,1890C,1850,1864,1908A,1864,1998C,1970,1974,1986C,1978,1918A,1940,1978,1984C,1960,1990C,1964,2016A,1964,2098C,1964,2074,2086C,2012A,2084C,2050,2078,2076C,2060,2106A,2196C,2190B,2198,2186C,2174,2120A,5140B,2174,回2170,2184C,2178,2196CX,2214A,2196CX,2252,2260,2286C,2276,回2208A,2284C,2282,2298,回2218A,2378,2364,回2360,回2322A,2384,2398C,回2316A
運用番号,,84,50,64,14,64,98,76+30,74,86,78,10,82,78,84,50,60,90,50,64,08,64,98,70,74,86,78,18,40,78,84,60,90,64,16,64,98,64,74,86,12,84,50,78,76+30,60,06,96,90,98,86,74,20,140,74,70,84,78,96,14,96,52,60,86,76,08,84,82,98,18,78,64,60,22,84,98,16
列車種別,,準急,普通,普通,特急,普通,準急,普通,普通,準急,普通,特急,急行,普通,準急,普通,普通,準急,普通,普通,特急,普通,準急,普通,普通,準急,普通,特急,普通,普通,準急,普通,準急,普通,特急,普通,準急,普通,普通,準急,特急,準急,普通,普通,準急,普通,特急,準急,急行,普通,準急,普通,特急,急行,普通,回送,準急,普通,準急,特急,準急,普通,普通,準急,普通,回送,準急,普通,普通,回送,普通,普通,回送,回送,普通,準急,回送
列車名,,,,,Ｃ特２,,,,,,,Ｂ特,,,,,,,,,Ｃ特２,,,,,,,Ｂ特,,,,,,,Ｃ特２,,,,,,Ｂ特,,,,,,Ｃ特３,,,,,,Ｂ特,,,,,,,Ｃ特２,,,,,,,,,,,,,,,,,
号数,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
終着駅,,江原信,江原信,館浜,館浜,津崎,館浜,江原信,館浜,館浜,館浜,館浜,館浜,津崎,館浜,江原信,館浜,館浜,大道寺,館浜,館浜,津崎,館浜,江原信,館浜,館浜,館浜,館浜,江原信,津崎,館浜,館浜,館浜,館浜,館浜,津崎,館浜,新野崎,館浜,館浜,館浜,館浜,江原信,館浜,館浜,館浜,館浜,館浜,館浜,館浜,館浜,館浜,館浜,江原信,津崎,館浜,館浜,館浜,館浜,館浜,新野崎,江原信,館浜,館浜,館浜,館浜,館浜,新野崎,館浜,館浜,館浜,館浜,館浜,館浜,館浜,館浜,館浜
始発駅作業,,,出区,,,,,出区,,,,,,,,出区,,,,,,,,出区,,,,,出区,,,,,,,,,,,,,,出区,,,,,,,,,,,出区,,,,,,,,出区,,,,,,,,,,,,,,,
,,,175750,,,,,181800,,,,,,,,185850,,,,,,,,191800,,,,,194030,,,,,,,,,,,,,,204530,,,,,,,,,,,214000,,,,,,,,221200,,,,,,,,,,,,,,,
,,84,50,64,14,,98,76;30,74,86,,,,,,50,,,,,,,,70,,,,,40,,,,,,,,,,,,,,50,,76,60,06,96,,98,,,,140,,,,,,,,52,,,,,,,,,,,,,,,
終着駅,,大道寺,日野森,津崎,赤山町,新野崎,大道寺,赤山町,新野崎,大道寺,津崎,赤山町,赤山町,新野崎,大道寺,大道寺,新野崎,大道寺,日野森,津崎,赤山町,新野崎,大道寺,赤山町,新野崎,大道寺,津崎,赤山町,赤山町,新野崎,大道寺,新野崎,日野森,津崎,赤山町,新野崎,新野崎,赤山町,新野崎,大道寺,赤山町,大道寺,赤山町,新野崎,日野森,新野崎,赤山町,大道寺,赤山町,新野崎,大道寺,津崎,赤山町,赤山町,大道寺,駒野,大道寺,新野崎,新野崎,赤山町,大道寺,赤山町,新野崎,大道寺,新野崎,江原信,大道寺,赤山町,新野崎,駒野,大道寺,日野森,駒野,江原信,江原信,大道寺,駒野
