FileType,OuDiaSecond.JikokuhyouCsv.2
18-24
下り

列車番号,,1779,1787B,1779,1883B,1743,1711A,1883B,1861,1743,1885C,1861,1865,1791C,1865,4757B,1899C,4757B,1709A,1875,1851,1887C,1879,1871,1819A,1961,1985C,1961,1991C,1965,1869B,1999C,1869B,1817A,1975,1951,1987C,1979,1977B,1913A,1977B,2085C,2061,1997C,2099,1907A,2099,2091C,2075,2087C,2075,2071B,2021A,2071B,2185C,2179,回2131,2161,2041,2197C,2161,2041,2177,2015A,2177,2187C,2299,2153,2109A,2299,2285C,2279,2165C,2279,回2297,2183B,2119A,2183B,2261,回2287,2251,2223A,2377,2385C,2377,2291,2399C,2291,2217A,2379,2365
運用番号,,78,86,78,82,42,10,82,60,42,84,60,64,90,64,156,98,156,08,74,50,86,78,70,18,60,84,60,90,64,68,98,68,16,74,50,86,78,76+30,12,76+30,84,60,96,98,06,98,90,74,86,74,70,20,70,84,78,30,60,40,96,60,40,76,14,76,86,98,52,08,98,84,78,64,78,96,82,18,82,60,86,50,22,76,84,76,90,98,90,16,78,64
列車種別,,普通,急行,普通,急行,普通,特急,急行,普通,普通,準急,普通,普通,準急,普通,急行,準急,急行,特急,普通,普通,準急,普通,普通,特急,普通,準急,普通,準急,普通,急行,準急,急行,特急,普通,普通,準急,普通,急行,特急,急行,準急,普通,準急,普通,特急,普通,準急,普通,準急,普通,急行,特急,急行,準急,普通,回送,普通,普通,準急,普通,普通,普通,特急,普通,準急,普通,普通,特急,普通,準急,普通,準急,普通,回送,急行,特急,急行,普通,回送,普通,特急,普通,準急,普通,普通,準急,普通,特急,普通,普通
列車名,,,,,,,Ｃ特１,,,,,,,,,,,,Ｃ特２,,,,,,Ｂ特,,,,,,,,,Ｃ特２,,,,,,Ｂ特,,,,,,Ｃ特２,,,,,,,Ｂ特,,,,,,,,,,,Ｃ特２,,,,,Ｂ特,,,,,,,,Ｃ特１,,,,,Ｂ特,,,,,,,Ｃ特２,,
号数,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
終着駅,,新野崎,江原信,津崎,江原信,日野森,赤山町,新野崎,新野崎,大道寺,大道寺,津崎,新野崎,赤山町,津崎,赤山町,大道寺,大道寺,赤山町,新野崎,日野森,大道寺,新野崎,赤山町,赤山町,新野崎,大道寺,津崎,大道寺,新野崎,赤山町,大道寺,大道寺,赤山町,新野崎,日野森,大道寺,新野崎,赤山町,赤山町,大道寺,大道寺,新野崎,赤山町,新野崎,赤山町,津崎,日野森,新野崎,大道寺,津崎,赤山町,赤山町,新野崎,大道寺,新野崎,大道寺,新野崎,赤山町,大道寺,津崎,大道寺,日野森,赤山町,大道寺,大道寺,新野崎,赤山町,赤山町,津崎,大道寺,新野崎,赤山町,津崎,大道寺,赤山町,赤山町,高見沢,新野崎,大道寺,赤山町,赤山町,新野崎,大道寺,津崎,赤山町,新野崎,新野崎,赤山町,大道寺,日野森
始発駅作業,,,出区,,出区,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,175300,,180100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,78,86,,82,42,10,,60,,,,,90,,156,,,08,,,,,70,18,,,,,,68,,,16,,,,,76;30,12,,,,96,,06,,,74,86,,70,20,,,78,,,40,,,,,14,,,,52,08,,,,64,,,82,18,,,,50,22,,,,90,,,16,,
終着駅,,津崎,館浜,館浜,新野崎,大道寺,館浜,館浜,津崎,江原信,館浜,館浜,津崎,館浜,館浜,大道寺,館浜,江原信,館浜,館浜,江原信,館浜,館浜,江原信,館浜,津崎,館浜,館浜,館浜,館浜,大道寺,館浜,江原信,館浜,館浜,江原信,館浜,館浜,大道寺,館浜,館浜,館浜,館浜,館浜,津崎,館浜,館浜,館浜,津崎,館浜,館浜,新野崎,館浜,館浜,館浜,館浜,江原信,津崎,大道寺,館浜,館浜,江原信,大道寺,館浜,館浜,館浜,津崎,江原信,館浜,館浜,館浜,津崎,館浜,館浜,江原信,高見沢,館浜,新野崎,館浜,江原信,江原信,館浜,津崎,館浜,駒野,新野崎,館浜,館浜,館浜,駒野,大道寺
